Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Mottaleb K.A., Kruseman G., Snapp S.","53664229100;57200546771;7003330545;","Potential impacts of Ukraine-Russia armed conflict on global wheat food security: A quantitative exploration",2022,"Global Food Security","35",,"100659","","",,150,"10.1016/j.gfs.2022.100659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140953496&doi=10.1016%2fj.gfs.2022.100659&partnerID=40&md5=7636e2a9e90c5385fc12013ec7c28482","Armed conflict; Calories; Consumption; Elasticity; Export-import; Food security; Price; Production; Wheat",,Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85140953496
"Richardson M., Nalley L.L., Durand-Morat A., Crandall P., Scruggs A., Joseph L., Chouloute J., Yang W.","57355627300;55837353600;57015306400;59843857300;59807266500;57720469000;57720175700;59612482300;","A broken market: can increased access to broken rice decrease food insecurity in Haiti?",2022,"Food Security","14","6",,"1387","1400",,3,"10.1007/s12571-022-01286-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131095954&doi=10.1007%2fs12571-022-01286-9&partnerID=40&md5=03e73b537664fa4810305ce93cc0c75f","Broken Rice; Food Security; Haiti; Rice Quality","crop plant; crop yield; food market; food security; rice; spatiotemporal analysis; Haiti; Hispaniola",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85131095954
"Hedlund J., Carlsen H., Croft S., West C., Bodin I., Stokeld E., Jägermeyr J., Müller C.","56478528000;36545789900;57206369427;56763374400;13103663000;57218997690;35179843900;56550089500;","Impacts of climate change on global food trade networks",2022,"Environmental Research Letters","17","12","124040","","",,31,"10.1088/1748-9326/aca68b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144579312&doi=10.1088%2f1748-9326%2faca68b&partnerID=40&md5=39115e6b136a0dd24b86b6434974df7b","climate adaptation; cross-border climate change impacts; food trade networks; global food system; network community detection","Climate change; Climate models; Crops; Food supply; Population dynamics; Climate adaptation; Climate change impact; Community detection; Cross-border; Cross-border climate change impact; Food system; Food trade network; Global food system; Network communities; Network community detection; Commerce; action plan; adaptive management; climate change; climate effect; cooperative sector; crop yield; cross-border relations; global trade; rice",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85144579312
"Oluoch K.O., De Groote H., Gitonga Z.M., Jin Z., Davis K.F.","57912733300;57197763228;36611627900;55621949100;55066814000;","A suite of agronomic factors can offset the effects of climate variability on rainfed maize production in Kenya",2022,"Scientific Reports","12","1","16043","","",,4,"10.1038/s41598-022-19286-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139122876&doi=10.1038%2fs41598-022-19286-2&partnerID=40&md5=822b34c56f443f7f81216fa58c940fb0",,"fertilizer; agriculture; climate change; crop; human; Kenya; maize; procedures; Agriculture; Climate Change; Crops, Agricultural; Fertilizers; Humans; Kenya; Zea mays",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85139122876
"Yawson D.O.","36459429000;","Balancing water scarcity, food production, and trade imperatives in the Caribbean: Could virtual water analysis help?",2022,"Journal of Cleaner Production","376",,"134285","","",,7,"10.1016/j.jclepro.2022.134285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138762026&doi=10.1016%2fj.jclepro.2022.134285&partnerID=40&md5=2e39b917ee084ef97980c56e65d489c2","Food security; Green and blue water; Maize; Small island developing states; Sustainability; Trade policy","Agriculture; Flow of water; Food supply; Hydraulics; Sustainable development; Water conservation; Water management; Water supply; Food production; Food security; Green and blue waters; Maize; Maize production; Small island developing state; Trade policies; Virtual water; Virtual water-flow; Water scarcity; Commerce",Article,"Final","",Scopus,2-s2.0-85138762026
"Berhe M., Subramanyam B., Chichaybelu M., Demissie G., Abay F., Harvey J.","57207877006;7004276540;6504463656;23977495500;24480722600;25922174700;","Post-Harvest Insect Pests and Their Management Practices for Major Food and Export Crops in East Africa: An Ethiopian Case Study",2022,"Insects","13","11","1068","","",,42,"10.3390/insects13111068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149575050&doi=10.3390%2finsects13111068&partnerID=40&md5=5df2069d5bdc358ab0178faa422fb5d4","Ethiopia; pest management options; post-harvest practices; storage losses; storage pests; stored commodities",,Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85149575050
"Mahmud S., Haider A.S.M.R., Shahriar S.T., Salehin S., Hasan A.S.M.M., Johansson M.T.","57226167666;59158495300;57412400600;57023792800;57200903522;36646031300;","Bioethanol and biodiesel blended fuels — Feasibility analysis of biofuel feedstocks in Bangladesh",2022,"Energy Reports","8",,,"1741","1756",,64,"10.1016/j.egyr.2022.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122794981&doi=10.1016%2fj.egyr.2022.01.001&partnerID=40&md5=f78eaf459fdbfd1a6949447dfbe75dc6","Agricultural residues; Bangladesh; Biodiesel; Bioethanol; Biofuel; Non-edible oils","Agricultural wastes; Animals; Bioethanol; Blending; Economics; Ethanol; Extraction; Feedstocks; Food supply; Gasoline; Oils and fats; Petroleum transportation; Proven reserves; Bangladesh; Biodiesel-blended fuels; Biofuel feedstocks; Feasibility analysis; International oil markets; Natural oil; Non-edible oil; Oil import; Oil reserves; Transportation sector; Biodiesel",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122794981
"Nasir M.A., Nugroho A.D., Lakner Z.","57925656200;58754315000;6506033503;","Impact of the Russian–Ukrainian Conflict on Global Food Crops",2022,"Foods","11","19","2979","","",,76,"10.3390/foods11192979","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139783050&doi=10.3390%2ffoods11192979&partnerID=40&md5=fd1f2037d62668705cc1b66c764d7629","food security; price; production; trade",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85139783050
"Kumar I., Feng K., Sun L., Bandaru V.","57218645131;35169268500;15821588400;14051672300;","Adoption of biomass for electricity generation in Thailand: Implications for energy security, employment, environment, and land use change",2022,"Renewable Energy","195",,,"1454","1467",,20,"10.1016/j.renene.2022.05.162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133922687&doi=10.1016%2fj.renene.2022.05.162&partnerID=40&md5=333c1b58cc1c0c83ffa39c9aeb779fbc","Biomass electricity generation; Extended input-output model; Sustainable development; Thailand","Agriculture; Biomass; Climate models; Economic analysis; Economic and social effects; Electric power generation; Employment; Energy policy; Food supply; Land use; Sustainable development; Biomass electricity; Biomass electricity generation; Electricity-generation; Extended input-output model; Input-output modeling; Landuse change; Population change; Renewable energy policy; Thailand; Water use; Energy security; electricity generation; Thailand",Article,"Final","",Scopus,2-s2.0-85133922687
"Bradshaw C.D., Pope E., Kay G., Davie J.C.S., Cottrell A., Bacon J., Cosse A., Dunstone N., Jennings S., Challinor A., Chapman S., Birch C., Sallu S.M., King R., Macdiarmid J.","54683434100;57130318700;36953058900;56025792100;8325043900;57219763391;57832358800;12787547600;57221224044;7003681353;56228426900;34976155900;26026483100;57200728595;7003488830;","Unprecedented climate extremes in South Africa and implications for maize production",2022,"Environmental Research Letters","17","8","084028","","",,33,"10.1088/1748-9326/ac816d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135443023&doi=10.1088%2f1748-9326%2fac816d&partnerID=40&md5=90c165667c831bf39a77bfa85983f290","climate; extremes; maize; present-day; South Africa; unprecedented","Atmospheric pressure; Climate models; Food supply; Large dataset; Breakings; Climate; Climate extremes; Extreme; Food security; Maize; Maize production; Present-day; South Africa; Unprecedented; Climate change; climate change; climate conditions; climate modeling; crop production; drought; El Nino-Southern Oscillation; extreme event; flood; food security; maize; seasonal variation; South Africa; Southern Africa",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85135443023
